name,eval_task_name,model_name,task_name,epochs,batch_size,learning_rate,weight_decay,warmup_steps,max_seq_length,do_lower_case,training_time,accuracy,eval_time,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_Nproducts_sentence-run-1,multiemo_en_products_sentence,bert-base-uncased,multiemo_en_Nproducts_sentence,4,16,5e-05,0.01,0,128,True,1262.072233,0.6078167115902965,1.665784,0.5466666666666666,0.31297709923664124,0.3980582524271845,131,0.7563291139240507,0.6947674418604651,0.7242424242424242,344,0.7908496732026143,0.6237113402061856,0.6974063400576369,194,0.25252525252525254,0.684931506849315,0.3690036900369004,73,0.5865926765796461,0.5790968470381518,0.5471776766910366,742,0.678773219082018,0.6078167115902965,0.6246888468345423,742,438025389,437945360,109485316
multiemo_en_Nproducts_sentence-run-2,multiemo_en_products_sentence,bert-base-uncased,multiemo_en_Nproducts_sentence,4,16,5e-05,0.01,0,128,True,1257.590636,0.6199460916442049,1.664727,0.625,0.26717557251908397,0.3743315508021391,131,0.6777493606138107,0.7703488372093024,0.7210884353741497,344,0.8854961832061069,0.5979381443298969,0.7138461538461538,194,0.2682926829268293,0.6027397260273972,0.37130801687763715,73,0.6141345566866867,0.5595505700214201,0.5451435392250199,742,0.6824695491196687,0.6199460916442049,0.6235626603800661,742,438025389,437945360,109485316
multiemo_en_Nproducts_sentence-run-3,multiemo_en_products_sentence,bert-base-uncased,multiemo_en_Nproducts_sentence,4,16,5e-05,0.01,0,128,True,1258.493506,0.6145552560646901,1.64169,0.59375,0.2900763358778626,0.38974358974358975,131,0.7626582278481012,0.7005813953488372,0.7303030303030302,344,0.8051948051948052,0.6391752577319587,0.7126436781609196,194,0.2548076923076923,0.726027397260274,0.37722419928825623,73,0.6041026813376498,0.5889650965547331,0.5524786243739489,742,0.693995194239893,0.6145552560646901,0.6308233056494794,742,438025389,437945360,109485316
multiemo_en_Nproducts_sentence-run-4,multiemo_en_products_sentence,bert-base-uncased,multiemo_en_Nproducts_sentence,4,16,5e-05,0.01,0,128,True,1259.086076,0.6469002695417789,1.646176,0.6785714285714286,0.2900763358778626,0.4064171122994652,131,0.7262872628726287,0.7790697674418605,0.7517531556802244,344,0.7751479289940828,0.6752577319587629,0.721763085399449,194,0.2905405405405405,0.589041095890411,0.38914027149321273,73,0.6176367902446701,0.5833612327922243,0.5672684062180878,742,0.6877679693468368,0.6469002695417789,0.6472682016869606,742,438025389,437945360,109485316
multiemo_en_Nproducts_sentence-run-5,multiemo_en_products_sentence,bert-base-uncased,multiemo_en_Nproducts_sentence,4,16,5e-05,0.01,0,128,True,1256.878763,0.6199460916442049,1.641189,0.5348837209302325,0.3511450381679389,0.42396313364055294,131,0.7560240963855421,0.7296511627906976,0.742603550295858,344,0.8251748251748252,0.6082474226804123,0.7002967359050445,194,0.24861878453038674,0.6164383561643836,0.35433070866141736,73,0.5911753567552467,0.5763704949508581,0.5552985321257182,742,0.6851417034408642,0.6199460916442049,0.6370869276368594,742,438025389,437945360,109485316
multiemo_en_Nreviews_sentence-run-1,multiemo_en_reviews_sentence,bert-base-uncased,multiemo_en_Nreviews_sentence,4,16,5e-05,0.01,0,128,True,1372.881653,0.525691699604743,0.740981,0.65,0.4727272727272727,0.5473684210526315,110,0.39705882352941174,0.675,0.5,40,0.6266666666666667,0.5465116279069767,0.5838509316770187,86,0.23333333333333334,0.4117647058823529,0.2978723404255319,17,0.476764705882353,0.5265009016291505,0.4822729232887955,253,0.5740804464078122,0.525691699604743,0.53551595346738,253,438025389,437945360,109485316
multiemo_en_Nreviews_sentence-run-2,multiemo_en_reviews_sentence,bert-base-uncased,multiemo_en_Nreviews_sentence,4,16,5e-05,0.01,0,128,True,1365.614708,0.4782608695652174,0.711834,0.8709677419354839,0.24545454545454545,0.3829787234042553,110,0.30303030303030304,0.75,0.43165467625899284,40,0.6236559139784946,0.6744186046511628,0.6480446927374302,86,0.2,0.35294117647058826,0.25531914893617025,17,0.4994134897360704,0.5057035816440741,0.4294993103342122,253,0.6520240013291142,0.4782608695652174,0.47219808589787227,253,438025389,437945360,109485316
multiemo_en_Nreviews_sentence-run-3,multiemo_en_reviews_sentence,bert-base-uncased,multiemo_en_Nreviews_sentence,4,16,5e-05,0.01,0,128,True,1366.139517,0.48616600790513836,0.704552,0.703125,0.4090909090909091,0.5172413793103449,110,0.391304347826087,0.675,0.4954128440366973,40,0.6666666666666666,0.4883720930232558,0.563758389261745,86,0.15789473684210525,0.5294117647058824,0.24324324324324326,17,0.4797476878337147,0.5254686917050119,0.4549139639630076,253,0.6047963153070853,0.48616600790513836,0.5111913916887392,253,438025389,437945360,109485316
multiemo_en_Nreviews_sentence-run-4,multiemo_en_reviews_sentence,bert-base-uncased,multiemo_en_Nreviews_sentence,4,16,5e-05,0.01,0,128,True,1370.900732,0.5059288537549407,0.715038,0.711864406779661,0.38181818181818183,0.4970414201183433,110,0.38961038961038963,0.75,0.5128205128205129,40,0.6153846153846154,0.5581395348837209,0.5853658536585366,86,0.20512820512820512,0.47058823529411764,0.28571428571428564,17,0.4804969042257178,0.5401364879990052,0.47023551807791963,253,0.5940701847448012,0.5059288537549407,0.5153596165913648,253,438025389,437945360,109485316
multiemo_en_Nreviews_sentence-run-5,multiemo_en_reviews_sentence,bert-base-uncased,multiemo_en_Nreviews_sentence,4,16,5e-05,0.01,0,128,True,1374.329881,0.5059288537549407,0.712371,0.6666666666666666,0.4727272727272727,0.553191489361702,110,0.421875,0.675,0.5192307692307693,40,0.6349206349206349,0.46511627906976744,0.5369127516778524,86,0.1875,0.5294117647058824,0.27692307692307694,17,0.47774057539682535,0.5355638291257306,0.4715645217983502,253,0.5849763159545768,0.5059288537549407,0.5237252314268996,253,438025389,437945360,109485316
