name,model_name,task_name,epochs,batch_size,learning_rate,weight_decay,warmup_steps,max_seq_length,do_lower_case,training_time,accuracy,eval_time,meta_amb_precision,meta_amb_recall,meta_amb_f1-score,meta_amb_support,meta_minus_m_precision,meta_minus_m_recall,meta_minus_m_f1-score,meta_minus_m_support,meta_plus_m_precision,meta_plus_m_recall,meta_plus_m_f1-score,meta_plus_m_support,meta_zero_precision,meta_zero_recall,meta_zero_f1-score,meta_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_all_text-run-1,bert-base-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,751.916049,0.874390243902439,7.252506,0.7901234567901234,0.47058823529411764,0.5898617511520737,136,0.8567639257294429,0.9528023598820059,0.9022346368715083,339,0.8806584362139918,0.9427312775330396,0.9106382978723405,227,0.9747899159663865,0.9830508474576272,0.9789029535864979,118,0.8755839336749862,0.8372931800416976,0.8454094098706051,820,0.8693102878662776,0.874390243902439,0.8637855880443309,820,438025389,437945360,109485316
multiemo_en_all_text-run-2,bert-base-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,764.708833,0.8560975609756097,7.251114,0.58125,0.6838235294117647,0.6283783783783784,136,0.9099378881987578,0.8643067846607669,0.886535552193646,339,0.905829596412556,0.8898678414096917,0.8977777777777778,227,0.991304347826087,0.9661016949152542,0.9785407725321889,118,0.8470804581093502,0.8510249625993693,0.8478081202204977,820,0.8659953360103747,0.8560975609756097,0.8600711931310481,820,438025389,437945360,109485316
multiemo_en_all_text-run-3,bert-base-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,760.845511,0.8646341463414634,7.261316,0.6122448979591837,0.6617647058823529,0.6360424028268551,136,0.8979591836734694,0.9085545722713865,0.9032258064516129,339,0.9238095238095239,0.8546255506607929,0.8878718535469108,227,0.975,0.9915254237288136,0.9831932773109243,118,0.8522534013605442,0.8541175631358365,0.8525833350340758,820,0.8688149162103866,0.8646341463414634,0.8661695520114474,820,438025389,437945360,109485316
multiemo_en_all_text-run-4,bert-base-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,759.250854,0.8573170731707317,7.252878,0.6739130434782609,0.45588235294117646,0.543859649122807,136,0.8670360110803325,0.9233038348082596,0.8942857142857145,339,0.8548387096774194,0.933920704845815,0.8926315789473684,227,0.9747899159663865,0.9830508474576272,0.9789029535864979,118,0.8426444200505998,0.8240394350132195,0.827419973985597,820,0.847135340061078,0.8573170731707317,0.8478849833753881,820,438025389,437945360,109485316
multiemo_en_all_text-run-5,bert-base-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,759.814505,0.8829268292682927,7.25678,0.7454545454545455,0.6029411764705882,0.6666666666666666,136,0.8787878787878788,0.9410029498525073,0.9088319088319088,339,0.9008620689655172,0.920704845814978,0.9106753812636166,227,0.991304347826087,0.9661016949152542,0.9785407725321889,118,0.8791022102585071,0.857687666763332,0.8661786823235953,820,0.8789762338897071,0.8829268292682927,0.8792095200808817,820,438025389,437945360,109485316
multiemo_en_all_text-run-1,distilbert-base-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,402.959906,0.875609756097561,3.59696,0.7037037037037037,0.5588235294117647,0.6229508196721312,136,0.8746594005449592,0.9469026548672567,0.9093484419263456,339,0.9030837004405287,0.9030837004405287,0.9030837004405287,227,0.9830508474576272,0.9830508474576272,0.9830508474576272,118,0.8661244130367047,0.8479651830442944,0.8546084523741582,820,0.8697722444981035,0.875609756097561,0.8707200405956597,820,267866225,267826192,66956548
multiemo_en_all_text-run-2,distilbert-base-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,406.520961,0.8719512195121951,3.601081,0.6640625,0.625,0.6439393939393939,136,0.8956521739130435,0.911504424778761,0.9035087719298245,339,0.8995633187772926,0.9074889867841409,0.9035087719298245,227,0.9745762711864406,0.9745762711864406,0.9745762711864406,118,0.8584635659691943,0.8546424206873356,0.8563833022463709,820,0.8696822686816673,0.8719512195121951,0.8706850274244369,820,267866225,267826192,66956548
multiemo_en_all_text-run-3,distilbert-base-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,403.735063,0.8731707317073171,3.591909,0.7027027027027027,0.5735294117647058,0.631578947368421,136,0.8777173913043478,0.9528023598820059,0.9137199434229136,339,0.8893805309734514,0.8854625550660793,0.8874172185430463,227,0.991304347826087,0.9661016949152542,0.9785407725321889,118,0.8652762432016472,0.8444740054070113,0.8528142204666425,820,0.8682647034075527,0.8731707317073171,0.8689723383299304,820,267866225,267826192,66956548
multiemo_en_all_text-run-4,distilbert-base-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,406.38558,0.8719512195121951,3.588731,0.6518518518518519,0.6470588235294118,0.6494464944649447,136,0.9176829268292683,0.887905604719764,0.9025487256371814,339,0.8865546218487395,0.9295154185022027,0.9075268817204302,227,0.9663865546218487,0.9745762711864406,0.970464135021097,118,0.8556189887879271,0.8597640294844547,0.8574965592109134,820,0.8719852154292876,0.8719512195121951,0.8717220869771513,820,267866225,267826192,66956548
multiemo_en_all_text-run-5,distilbert-base-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,402.091982,0.8682926829268293,3.594253,0.6822429906542056,0.5367647058823529,0.6008230452674896,136,0.8950437317784257,0.9056047197640118,0.9002932551319648,339,0.8549019607843137,0.960352422907489,0.9045643153526971,227,0.991304347826087,0.9661016949152542,0.9785407725321889,118,0.855873257760758,0.842205885867277,0.846055347071085,820,0.8624896706626534,0.8682926829268293,0.8630673882804576,820,267866225,267826192,66956548
multiemo_en_all_text-run-1,huawei-noah/TinyBERT_General_4L_312D,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,118.026909,0.8402439024390244,0.994586,0.5985915492957746,0.625,0.6115107913669064,136,0.8739255014326648,0.8997050147492626,0.8866279069767442,339,0.8666666666666667,0.8590308370044053,0.8628318584070797,227,1.0,0.8813559322033898,0.936936936936937,118,0.8347959293487766,0.8162729459892645,0.8244768734219169,820,0.8443933280771123,0.8402439024390244,0.8416508762292454,820,57437831,57410096,14351500
