name,model_name,task_name,epochs,batch_size,learning_rate,weight_decay,warmup_steps,max_seq_length,do_lower_case,training_time,accuracy,eval_time,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_all_sentence-run-5,distilbert-base-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,828.889559,0.7585726718885988,6.850113,0.604989604989605,0.42731277533039647,0.5008605851979346,681,0.7701918786256136,0.8130004710315591,0.7910174152153987,2123,0.7736318407960199,0.8173455978975033,0.794888178913738,1522,0.7752650176678445,0.7730796335447498,0.7741707833450954,1419,0.7310195855197708,0.7076846194510522,0.7152342406680416,5745,0.7527735423990101,0.7585726718885988,0.7534872377537832,5745,267866225,267826192,66956548
multiemo_en_all_sentence-run-3,distilbert-base-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,836.503601,0.7589208006962577,6.840242,0.5667808219178082,0.48604992657856094,0.5233201581027669,681,0.7876838235294118,0.8073480923221856,0.79739474296348,2123,0.7951090548578982,0.790407358738502,0.7927512355848435,1522,0.7554347826086957,0.7836504580690627,0.7692839847803529,1419,0.7262521207284535,0.7168639589270779,0.7206875303578608,5745,0.7555001627666543,0.7589208006962577,0.7567330586497659,5745,267866225,267826192,66956548
multiemo_en_all_sentence-run-1,distilbert-base-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,831.260106,0.7601392515230635,6.889694,0.6200417536534447,0.43612334801762115,0.5120689655172415,681,0.7485453034081463,0.8483278379651437,0.7953190549790241,2123,0.7820760799484203,0.7969776609724047,0.7894565571103155,1522,0.8067226890756303,0.7441860465116279,0.7741935483870968,1419,0.7393464565214103,0.7064037233666993,0.7177595314984195,5745,0.7565656053704622,0.7601392515230635,0.7549721225971975,5745,267866225,267826192,66956548
multiemo_en_all_sentence-run-4,distilbert-base-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,835.789006,0.7556135770234987,6.846271,0.5567190226876091,0.4684287812041116,0.5087719298245613,681,0.7708609271523179,0.8224211022138483,0.7958067456700092,2123,0.7849740932642487,0.7963206307490145,0.7906066536203522,1522,0.780630961115187,0.7498238195912614,0.764917325664989,1419,0.7232962510548406,0.709248583439559,0.7150256636949779,5745,0.7516291221175404,0.7556135770234987,0.7527750073449523,5745,267866225,267826192,66956548
multiemo_en_all_sentence-run-6,distilbert-base-uncased,multiemo_en_all_sentence,4,16,5e-05,0.01,0,128,False,827.753918,0.7597911227154047,6.866543,0.6161825726141079,0.43612334801762115,0.5107480653482372,681,0.7474077146412277,0.8487988695242581,0.7948831054256726,2123,0.7982860909690178,0.7956636005256241,0.796972688384337,1522,0.7902621722846442,0.7434813248766737,0.7661583151779231,1419,0.7380346376272494,0.7060167857360443,0.7171905435840426,5745,0.7559165122820347,0.7597911227154047,0.7546609828162378,5745,267866225,267826192,66956548
multiemo_en_all_sentence-run-2,distilbert-base-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,831.915137,0.7610095735422107,6.863073,0.583180987202925,0.4684287812041116,0.519543973941368,681,0.7770870337477798,0.8243052284503062,0.7999999999999999,2123,0.8086838534599728,0.783180026281209,0.7957276368491322,1522,0.7547554347826086,0.7829457364341085,0.7685921826357662,1419,0.7309268272983216,0.7147149430924339,0.7209659483565665,5745,0.7569567992783862,0.7610095735422107,0.7578658340641607,5745,267866225,267826192,66956548
multiemo_en_all_sentence-run-7,distilbert-base-uncased,multiemo_en_all_sentence,4,16,5e-05,0.01,0,128,True,839.422403,0.7754569190600522,6.934964,0.5752961082910322,0.49926578560939794,0.5345911949685535,681,0.7685534591194969,0.8634008478568064,0.813220940550133,2123,0.8362369337979094,0.7884362680683311,0.8116334122421373,1522,0.8110944527736131,0.7625088090204369,0.7860515800944424,1419,0.7477952384955129,0.728402927638743,0.7363742819638165,5745,0.7740837746184613,0.7754569190600522,0.7730614283982705,5745,267866225,267826192,66956548
multiemo_en_all_sentence-run-5,bert-base-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,1531.680951,0.7698868581375109,13.606973,0.587360594795539,0.46402349486049926,0.5184577522559476,681,0.7718993928881179,0.83843617522374,0.803793181305035,2123,0.812,0.8002628120893561,0.8060886829913966,1522,0.7915774446823698,0.7815362931642001,0.7865248226950357,1419,0.7407093580915066,0.7210646938344488,0.7287161098118538,5745,0.7655086806199337,0.7698868581375109,0.7663130290886075,5745,438025389,437945360,109485316
multiemo_en_all_sentence-run-3,bert-base-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,1527.818685,0.7733681462140992,13.751158,0.5925266903914591,0.4889867841409692,0.5358004827031376,681,0.7858729453576189,0.833254828073481,0.8088705989940558,2123,0.8140468227424749,0.7996057818659659,0.8067616837918461,1522,0.7821851078636047,0.792107117688513,0.7871148459383753,1419,0.7436578915887894,0.7284886279422322,0.7346369028568537,5745,0.769507201292134,0.7733681462140992,0.7705691313321082,5745,438025389,437945360,109485316
multiemo_en_all_sentence-run-1,bert-base-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,1511.965923,0.7691906005221932,13.558579,0.6878453038674033,0.3656387665198238,0.47746883988494726,681,0.7352478363493312,0.880357983984927,0.8012861736334405,2123,0.8327477160927618,0.778580814717477,0.8047538200339558,1522,0.7870239774330042,0.7864693446088795,0.786746563271061,1419,0.7607162084356252,0.7027617274577769,0.717563849205851,5745,0.7682476686464663,0.7691906005221932,0.7602289841529608,5745,438025389,437945360,109485316
multiemo_en_all_sentence-run-4,bert-base-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,1535.903795,0.7744125326370758,13.602258,0.5948905109489051,0.4787077826725404,0.5305126118795769,681,0.7814136125654451,0.843617522373999,0.8113250283125708,2123,0.8161073825503355,0.7989487516425755,0.8074369189907038,1522,0.7886925795053004,0.7864693446088795,0.7875793930839802,1419,0.7452760213924965,0.7269358503244986,0.7342134880667078,5745,0.7702927317654094,0.7744125326370758,0.7711429544451869,5745,438025389,437945360,109485316
multiemo_en_all_sentence-run-8,bert-base-uncased,multiemo_en_all_sentence,4,16,5e-05,0.01,0,128,True,1537.315493,0.7900783289817233,13.733866,0.6158088235294118,0.4919236417033774,0.5469387755102041,681,0.8212627669452182,0.833254828073481,0.8272153378536358,2123,0.8030674846625767,0.8600525624178712,0.8305837563451777,1522,0.7946365561044461,0.7935165609584214,0.7940761636107192,1419,0.7586939078104132,0.7446868982882877,0.7497035083299342,5745,0.7855116880447135,0.7900783289817233,0.7866990464241409,5745,438025389,437945360,109485316
multiemo_en_all_sentence-run-6,bert-base-uncased,multiemo_en_all_sentence,4,16,5e-05,0.01,0,128,False,1543.903009,0.7667536988685814,13.844449,0.6410256410256411,0.40381791483113066,0.49549549549549554,681,0.7219493766528146,0.9001413094677343,0.8012578616352202,2123,0.827538247566064,0.7818659658344284,0.804054054054054,1522,0.8359057676685622,0.7251585623678647,0.7766037735849056,1419,0.7566047582282704,0.7027459381252895,0.7193527961924188,5745,0.7684770209381421,0.7667536988685814,0.7596647341464328,5745,438025389,437945360,109485316
multiemo_en_all_sentence-run-2,bert-base-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,1511.887338,0.7676240208877284,13.608739,0.6155555555555555,0.4067547723935389,0.48983200707338637,681,0.7562396006655574,0.8563353744700894,0.8031809145129225,2123,0.7989590110605075,0.8068331143232589,0.8028767571101667,1522,0.8028064992614475,0.7660324171952079,0.7839884601514604,1419,0.7433901666357671,0.7089889195955238,0.719969534711984,5745,0.7623826010152129,0.7676240208877284,0.761216140575197,5745,438025389,437945360,109485316
multiemo_en_all_sentence-run-7,bert-base-uncased,multiemo_en_all_sentence,4,16,5e-05,0.01,0,128,False,1553.420837,0.7749347258485639,13.569422,0.6242424242424243,0.45374449339207046,0.5255102040816326,681,0.7925292529252925,0.8294865756005653,0.8105868814729574,2123,0.7701900237529691,0.8521681997371879,0.8091079226450405,1522,0.8072916666666666,0.7646229739252995,0.7853782120883098,1419,0.7485633418968382,0.7250055606637809,0.7326458050719851,5745,0.7703089270707582,0.7749347258485639,0.770176212282984,5745,438025389,437945360,109485316
multiemo_en_all_sentence-run-5,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,425.437956,0.7335073977371628,2.227799,0.5801217038539553,0.4199706314243759,0.48722316865417375,681,0.724896265560166,0.8228921337729628,0.7707919699977939,2123,0.7712944332662642,0.7555847568988173,0.7633587786259541,1522,0.7631384159881569,0.7265680056377731,0.7444043321299638,1419,0.7098627046671356,0.6812538819334824,0.6914445623519714,5745,0.7294727923110922,0.7335073977371628,0.7286914079233993,5745,51049901,51008528,12751108
multiemo_en_all_sentence-run-3,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,345.146058,0.7380330722367275,2.246454,0.6021276595744681,0.4155653450807636,0.4917463075586447,681,0.7419768934531451,0.8167687235044748,0.777578475336323,2123,0.7571884984025559,0.778580814717477,0.7677356656948494,1522,0.7560087399854334,0.7315010570824524,0.7435530085959885,1419,0.7143254478539006,0.685603985096292,0.6951533642964514,5745,0.7328952441391227,0.7380330722367275,0.7326847242770617,5745,51049901,51008528,12751108
multiemo_en_all_sentence-run-1,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,3783.188278,0.7329852045256745,2.184766,0.5862785862785863,0.41409691629955947,0.4853700516351119,681,0.7377892030848329,0.8111163447951013,0.7727170742652006,2123,0.7404865876481597,0.7798948751642576,0.75968,1522,0.7686510926902789,0.718816067653277,0.7428987618353969,1419,0.7083013674254643,0.6809810509780488,0.6901664719339273,5745,0.7281668724687244,0.7329852045256745,0.7278366678630045,5745,51049901,51008528,12751108
multiemo_en_all_sentence-run-4,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,392.257561,0.7359442993907745,2.18677,0.5950226244343891,0.38619676945668135,0.4683882457702582,681,0.7387234042553191,0.8177107866227037,0.7762128325508607,2123,0.7394752898108603,0.7963206307490145,0.7668459348307498,1522,0.773972602739726,0.7167019027484144,0.7442371020856202,1419,0.7117984803100736,0.6792325223942035,0.6889210288093723,5745,0.730595075518479,0.7359442993907745,0.7293445081891939,5745,51049901,51008528,12751108
multiemo_en_all_sentence-run-6,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_sentence,4,16,5e-05,0.01,0,128,False,412.496664,0.7481288076588337,2.252226,0.6038135593220338,0.4185022026431718,0.4943625325238507,681,0.7448334036271615,0.8318417333961375,0.7859368046283933,2123,0.7597765363128491,0.8042049934296978,0.7813597191190553,1522,0.7924089852827265,0.7209302325581395,0.754981549815498,1419,0.7252081211361928,0.6938697905067867,0.7041601515216993,5745,0.7438270823643368,0.7481288076588337,0.7425157584964692,5745,51049901,51008528,12751108
multiemo_en_all_sentence-run-2,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_sentence,4,16,2e-05,0.01,0,128,False,404.545497,0.7347258485639687,2.164592,0.5840336134453782,0.40822320117474303,0.4805531547104581,681,0.7355546183045129,0.8214790390956194,0.7761459724076546,2123,0.7451104100946372,0.7759526938239159,0.7602188606372706,1522,0.7753236862147753,0.7174066243833686,0.7452415812591509,1419,0.7100055820148259,0.6807653896194117,0.6905398922536337,5745,0.7299480766439664,0.7347258485639687,0.7292542223630868,5745,51049901,51008528,12751108
