micro avg_f1-score,micro avg_support,model_name,task_name,epochs,batch_size,learning_rate,weight_decay,warmup_steps,max_seq_length,do_lower_case,training_time,accuracy,eval_time,meta_amb_precision,meta_amb_recall,meta_amb_f1-score,meta_amb_support,meta_minus_m_precision,meta_minus_m_recall,meta_minus_m_f1-score,meta_minus_m_support,meta_plus_m_precision,meta_plus_m_recall,meta_plus_m_f1-score,meta_plus_m_support,meta_zero_precision,meta_zero_recall,meta_zero_f1-score,meta_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters,name,eval_task_name,micro avg_precision,micro avg_recall
,,bert-base-uncased,multiemo_en_Nhotels_text,4,8,5e-05,0.01,0,256,True,366.241915,0.8025316455696202,3.071572,0.6172839506172839,0.5813953488372093,0.5988023952095808,86,0.8819875776397516,0.8502994011976048,0.8658536585365854,167,0.7627118644067796,0.9,0.8256880733944953,100,1.0,0.8333333333333334,0.9090909090909091,42,0.8154958481659538,0.7912570208420369,0.7998587590578927,395,0.8067076750876023,0.8025316455696202,0.802139727809877,395,438025389,437945360,109485316,multiemo_en_Nhotels_text-run-1,multiemo_en_hotels_text,,
,,bert-base-uncased,multiemo_en_Nhotels_text,4,8,5e-05,0.01,0,256,True,369.991185,0.7949367088607595,3.034586,0.6739130434782609,0.36046511627906974,0.4696969696969696,86,0.8241758241758241,0.8982035928143712,0.8595988538681948,167,0.7461538461538462,0.97,0.8434782608695651,100,0.972972972972973,0.8571428571428571,0.9113924050632912,42,0.8043039216952261,0.7714528915590745,0.7710416223745051,395,0.78752945280188,0.7949367088607595,0.7761348230115004,395,438025389,437945360,109485316,multiemo_en_Nhotels_text-run-2,multiemo_en_hotels_text,,
,,bert-base-uncased,multiemo_en_Nhotels_text,4,8,5e-05,0.01,0,256,True,372.761603,0.8025316455696202,3.013112,0.660377358490566,0.4069767441860465,0.5035971223021584,86,0.84,0.8802395209580839,0.8596491228070176,167,0.7596899224806202,0.98,0.8558951965065502,100,0.9736842105263158,0.8809523809523809,0.925,42,0.8084378728743755,0.7870421615241278,0.7860353604039314,395,0.794775144102167,0.8025316455696202,0.7881272801959812,395,438025389,437945360,109485316,multiemo_en_Nhotels_text-run-3,multiemo_en_hotels_text,,
,,bert-base-uncased,multiemo_en_Nhotels_text,4,8,5e-05,0.01,0,256,True,370.634101,0.8075949367088607,3.015443,0.6923076923076923,0.5232558139534884,0.5960264900662252,86,0.8734939759036144,0.8682634730538922,0.8708708708708709,167,0.7384615384615385,0.96,0.8347826086956522,100,0.9705882352941176,0.7857142857142857,0.8684210526315789,42,0.8187128604917407,0.7843083931804166,0.7925252555660818,395,0.8101843423870176,0.8075949367088607,0.8016345788891703,395,438025389,437945360,109485316,multiemo_en_Nhotels_text-run-4,multiemo_en_hotels_text,,
,,bert-base-uncased,multiemo_en_Nhotels_text,4,8,5e-05,0.01,0,256,True,368.540665,0.8025316455696202,3.051296,0.8333333333333334,0.23255813953488372,0.3636363636363636,86,0.7912621359223301,0.9760479041916168,0.8739946380697051,167,0.7578125,0.97,0.8508771929824562,100,1.0,0.8809523809523809,0.9367088607594937,42,0.8456019923139159,0.7648896061697203,0.7563042638620047,395,0.8141485907992299,0.8025316455696202,0.763694489317753,395,438025389,437945360,109485316,multiemo_en_Nhotels_text-run-5,multiemo_en_hotels_text,,
,,bert-base-uncased,multiemo_en_Nmedicine_text,4,8,5e-05,0.01,0,256,True,431.750004,0.8287461773700305,2.626013,0.2222222222222222,0.45454545454545453,0.29850746268656714,22,0.888,0.8345864661654135,0.8604651162790699,133,0.9186046511627907,0.8144329896907216,0.8633879781420764,97,1.0,0.9466666666666667,0.9726027397260273,75,0.7572067183462532,0.7625578942670641,0.7487408242084352,327,0.8779741285984085,0.8287461773700305,0.8492442324264655,327,438025389,437945360,109485316,multiemo_en_Nmedicine_text-run-1,multiemo_en_medicine_text,,
,,bert-base-uncased,multiemo_en_Nmedicine_text,4,8,5e-05,0.01,0,256,True,433.209899,0.8226299694189603,2.59617,0.2727272727272727,0.5454545454545454,0.3636363636363636,22,0.8692307692307693,0.849624060150376,0.8593155893536121,133,0.896551724137931,0.8041237113402062,0.8478260869565218,97,1.0,0.88,0.9361702127659575,75,0.7596274415239932,0.7698005792362819,0.7517370631781137,327,0.8671963594772832,0.8226299694189603,0.8401861461047702,327,438025389,437945360,109485316,multiemo_en_Nmedicine_text-run-2,multiemo_en_medicine_text,,
,,bert-base-uncased,multiemo_en_Nmedicine_text,4,8,5e-05,0.01,0,256,True,433.300227,0.8195718654434251,2.580602,0.21153846153846154,0.5,0.29729729729729726,22,0.9159663865546218,0.8195488721804511,0.8650793650793651,133,0.9166666666666666,0.7938144329896907,0.850828729281768,97,0.9861111111111112,0.9466666666666667,0.9659863945578231,75,0.7575706564677153,0.7650074929592021,0.7447979465540633,327,0.8848696500477395,0.8195718654434251,0.8457965211873526,327,438025389,437945360,109485316,multiemo_en_Nmedicine_text-run-3,multiemo_en_medicine_text,,
,,bert-base-uncased,multiemo_en_Nmedicine_text,4,8,5e-05,0.01,0,256,True,429.320649,0.8165137614678899,2.586509,0.17647058823529413,0.2727272727272727,0.21428571428571427,22,0.8489208633093526,0.8872180451127819,0.8676470588235295,133,0.8791208791208791,0.8247422680412371,0.851063829787234,97,1.0,0.84,0.9130434782608696,75,0.7261280826663814,0.706171896470323,0.7115100202893369,327,0.8472891530154301,0.8165137614678899,0.8291828651276516,327,438025389,437945360,109485316,multiemo_en_Nmedicine_text-run-4,multiemo_en_medicine_text,,
,,bert-base-uncased,multiemo_en_Nmedicine_text,4,8,5e-05,0.01,0,256,True,429.105615,0.8409785932721713,2.579288,0.32432432432432434,0.5454545454545454,0.4067796610169491,22,0.8344827586206897,0.9097744360902256,0.8705035971223022,133,0.9625,0.7938144329896907,0.8700564971751412,97,1.0,0.8666666666666667,0.9285714285714286,75,0.7803267707362534,0.7789275203002821,0.7689777959714552,327,0.8760973762436907,0.8409785932721713,0.8524907288332871,327,438025389,437945360,109485316,multiemo_en_Nmedicine_text-run-5,multiemo_en_medicine_text,,
